City,Arthritis among adults aged >=18 Years,Chronic kidney disease among adults aged >=18 Years,Chronic obstructive pulmonary disease among adults aged >=18 Years,Coronary heart disease among adults aged >=18 Years,Current lack of health insurance among adults aged 18-64 Years,Diagnosed diabetes among adults aged >=18 Years,High cholesterol among adults aged >=18 Years,No leisure-time physical activity among adults aged >=18 Years
"Allentown, PA",0.294,0.032,0.08,0.07200000000000001,0.23399999999999999,0.131,0.321,0.35700000000000004
"Amarillo, TX",0.225,0.027999999999999997,0.067,0.061,0.242,0.106,0.32799999999999996,0.315
"Arlington, TX",0.203,0.027000000000000003,0.061,0.057999999999999996,0.231,0.105,0.325,0.29600000000000004
"Baldwin Park, CA",0.17800000000000002,0.03,0.046,0.055,0.248,0.131,0.317,0.267
"Baytown, TX",0.217,0.03,0.069,0.067,0.295,0.128,0.35,0.336
"Birmingham, AL",0.31,0.035,0.09,0.076,0.198,0.168,0.353,0.373
"Boca Raton, FL",0.20199999999999999,0.022000000000000002,0.05,0.049,0.142,0.07,0.313,0.17600000000000002
"Brownsville, TX",0.203,0.039,0.062,0.073,0.44299999999999995,0.162,0.341,0.377
"Bryan, TX",0.20199999999999999,0.031,0.069,0.063,0.27899999999999997,0.124,0.331,0.306
"Buffalo, NY",0.27899999999999997,0.032,0.08199999999999999,0.067,0.153,0.129,0.316,0.353
"Cambridge, MA",0.20199999999999999,0.023,0.043,0.044000000000000004,0.057999999999999996,0.078,0.297,0.214
"Canton, OH",0.304,0.033,0.10400000000000001,0.077,0.157,0.132,0.313,0.33299999999999996
"Chattanooga, TN",0.26899999999999996,0.031,0.086,0.07,0.18100000000000002,0.131,0.331,0.326
"Cicero, IL",0.218,0.034,0.062,0.07200000000000001,0.322,0.14300000000000002,0.348,0.35700000000000004
"Cleveland, OH",0.294,0.039,0.102,0.08199999999999999,0.19899999999999998,0.16399999999999998,0.313,0.368
"Columbus, GA",0.271,0.031,0.07400000000000001,0.064,0.195,0.129,0.332,0.31
"Compton, CA",0.21899999999999997,0.037000000000000005,0.064,0.066,0.263,0.158,0.315,0.29100000000000004
"Corpus Christi, TX",0.22,0.03,0.057999999999999996,0.061,0.28800000000000003,0.13,0.335,0.32
"Costa Mesa, CA",0.177,0.026000000000000002,0.05,0.052000000000000005,0.135,0.08800000000000001,0.301,0.192
"Dallas, TX",0.22399999999999998,0.032,0.066,0.066,0.303,0.131,0.34,0.342
"Daly City, CA",0.146,0.022000000000000002,0.034,0.040999999999999995,0.114,0.094,0.281,0.196
"Dayton, OH",0.306,0.037000000000000005,0.105,0.084,0.171,0.158,0.34,0.355
"Denver, CO",0.20600000000000002,0.026000000000000002,0.049,0.048,0.16399999999999998,0.08,0.275,0.182
"Detroit, MI",0.314,0.043,0.10099999999999999,0.086,0.23600000000000002,0.171,0.35100000000000003,0.36200000000000004
"Edinburg, TX",0.2,0.035,0.054000000000000006,0.067,0.392,0.154,0.34600000000000003,0.33399999999999996
"El Monte, CA",0.185,0.032,0.054000000000000006,0.06,0.267,0.142,0.33,0.289
"El Paso, TX",0.191,0.033,0.053,0.062,0.345,0.14,0.321,0.322
"Elizabeth, NJ",0.212,0.032,0.063,0.066,0.272,0.135,0.322,0.365
"Erie, PA",0.303,0.03,0.085,0.071,0.156,0.113,0.312,0.322
"Fall River, MA",0.299,0.03,0.10300000000000001,0.069,0.12,0.107,0.344,0.358
"Farmington Hills, MI",0.23600000000000002,0.023,0.05,0.047,0.087,0.07400000000000001,0.326,0.19399999999999998
"Flint, MI",0.349,0.04,0.109,0.087,0.218,0.159,0.35700000000000004,0.365
"Fort Smith, AR",0.268,0.031,0.087,0.076,0.187,0.11699999999999999,0.34600000000000003,0.371
"Fort Worth, TX",0.21100000000000002,0.03,0.066,0.064,0.258,0.121,0.33,0.315
"Fremont, CA",0.159,0.02,0.032,0.038,0.081,0.076,0.26899999999999996,0.162
"Fullerton, CA",0.165,0.025,0.044000000000000004,0.048,0.13699999999999998,0.091,0.303,0.195
"Garland, TX",0.21899999999999997,0.028999999999999998,0.066,0.062,0.282,0.115,0.341,0.335
"Gary, IN",0.29100000000000004,0.04,0.091,0.083,0.233,0.184,0.344,0.401
"Grand Prairie, TX",0.21,0.028999999999999998,0.06,0.06,0.263,0.115,0.332,0.32
"Gulfport, MS",0.27699999999999997,0.031,0.073,0.068,0.215,0.129,0.325,0.389
"Hialeah, FL",0.20199999999999999,0.036000000000000004,0.059000000000000004,0.07200000000000001,0.41600000000000004,0.14800000000000002,0.341,0.38799999999999996
"Hollywood, FL",0.213,0.027999999999999997,0.064,0.059000000000000004,0.24,0.107,0.327,0.293
"Houston, TX",0.207,0.032,0.062,0.065,0.301,0.139,0.34600000000000003,0.331
"Huntington Beach, CA",0.16699999999999998,0.022000000000000002,0.042,0.045,0.092,0.073,0.29,0.16399999999999998
"Iowa City, IA",0.221,0.024,0.05,0.05,0.09,0.08,0.301,0.23600000000000002
"Irvine, CA",0.14800000000000002,0.021,0.033,0.04,0.07200000000000001,0.07200000000000001,0.29,0.149
"Irving, TX",0.212,0.028999999999999998,0.063,0.062,0.262,0.113,0.33799999999999997,0.318
"Jackson, MS",0.268,0.035,0.07,0.069,0.23,0.158,0.319,0.386
"Lake Charles, LA",0.262,0.032,0.077,0.071,0.20600000000000002,0.134,0.341,0.35100000000000003
"Lake Forest, CA",0.163,0.022000000000000002,0.04,0.045,0.09300000000000001,0.075,0.289,0.162
"Lakewood, CA",0.17600000000000002,0.023,0.043,0.044000000000000004,0.115,0.086,0.289,0.187
"Laredo, TX",0.20600000000000002,0.039,0.06,0.075,0.436,0.16899999999999998,0.337,0.4
"Lawrence, MA",0.254,0.035,0.075,0.07400000000000001,0.235,0.14400000000000002,0.337,0.40299999999999997
"Lawton, OK",0.264,0.028999999999999998,0.079,0.071,0.177,0.115,0.326,0.355
"Livonia, MI",0.23800000000000002,0.022000000000000002,0.055999999999999994,0.051,0.08800000000000001,0.066,0.315,0.204
"Longmont, CO",0.217,0.024,0.051,0.05,0.145,0.064,0.268,0.177
"Lynwood, CA",0.207,0.037000000000000005,0.061,0.068,0.302,0.157,0.325,0.303
"Macon, GA",0.27899999999999997,0.038,0.096,0.079,0.255,0.165,0.34600000000000003,0.379
"McAllen, TX",0.198,0.034,0.054000000000000006,0.065,0.37200000000000005,0.147,0.342,0.32299999999999995
"Memphis, TN",0.27,0.035,0.08800000000000001,0.07400000000000001,0.212,0.154,0.337,0.327
"Mesquite, TX",0.228,0.028999999999999998,0.069,0.063,0.256,0.11199999999999999,0.33799999999999997,0.33
"Miami, FL",0.20800000000000002,0.036000000000000004,0.064,0.07200000000000001,0.34700000000000003,0.14300000000000002,0.332,0.361
"Midland, TX",0.20199999999999999,0.026000000000000002,0.054000000000000006,0.054000000000000006,0.223,0.098,0.319,0.295
"Milpitas, CA",0.133,0.021,0.031,0.038,0.098,0.08800000000000001,0.282,0.18600000000000003
"Mission Viejo, CA",0.163,0.021,0.038,0.042,0.079,0.067,0.284,0.151
"Mission, TX",0.20199999999999999,0.033,0.057999999999999996,0.067,0.395,0.145,0.34299999999999997,0.332
"Mobile, AL",0.293,0.031,0.084,0.07200000000000001,0.172,0.132,0.35100000000000003,0.342
"Montgomery, AL",0.302,0.031,0.08199999999999999,0.068,0.175,0.133,0.341,0.312
"Mountain View, CA",0.145,0.02,0.032,0.038,0.076,0.069,0.265,0.15
"Muncie, IN",0.281,0.03,0.092,0.075,0.17300000000000001,0.113,0.348,0.32
"Napa, CA",0.193,0.025,0.054000000000000006,0.051,0.136,0.083,0.292,0.196
"New Bedford, MA",0.298,0.031,0.10099999999999999,0.071,0.14,0.114,0.34299999999999997,0.364
"North Las Vegas, NV",0.212,0.031,0.07400000000000001,0.064,0.22399999999999998,0.11599999999999999,0.309,0.3
"Oceanside, CA",0.193,0.026000000000000002,0.053,0.05,0.139,0.087,0.29600000000000004,0.192
"Odessa, TX",0.207,0.027999999999999997,0.061,0.06,0.27899999999999997,0.11199999999999999,0.32,0.324
"Orange, CA",0.171,0.025,0.047,0.05,0.135,0.087,0.3,0.192
"Pasadena, CA",0.17300000000000001,0.024,0.040999999999999995,0.044000000000000004,0.11900000000000001,0.08900000000000001,0.287,0.179
"Pasadena, TX",0.20800000000000002,0.031,0.066,0.067,0.34600000000000003,0.13,0.354,0.34700000000000003
"Passaic, NJ",0.23199999999999998,0.036000000000000004,0.069,0.075,0.332,0.153,0.34,0.423
"Perris, CA",0.21600000000000003,0.035,0.063,0.069,0.245,0.139,0.319,0.3
"Pharr, TX",0.217,0.038,0.066,0.075,0.47600000000000003,0.171,0.36,0.38
"Philadelphia, PA",0.271,0.032,0.07400000000000001,0.065,0.17600000000000002,0.128,0.314,0.312
"Pompano Beach, FL",0.231,0.03,0.077,0.066,0.259,0.115,0.33399999999999996,0.317
"Providence, RI",0.249,0.032,0.073,0.068,0.18899999999999997,0.126,0.317,0.35200000000000004
"Redondo Beach, CA",0.162,0.02,0.034,0.037000000000000005,0.063,0.064,0.273,0.136
"Redwood City, CA",0.17,0.024,0.042,0.045,0.131,0.081,0.268,0.182
"Rochester, NY",0.284,0.034,0.08199999999999999,0.07,0.16899999999999998,0.133,0.311,0.36
"Rockford, IL",0.255,0.03,0.077,0.067,0.16699999999999998,0.114,0.336,0.324
"Salinas, CA",0.2,0.033,0.06,0.063,0.258,0.126,0.324,0.27699999999999997
"San Angelo, TX",0.209,0.027999999999999997,0.063,0.061,0.247,0.111,0.331,0.312
"San Antonio, TX",0.21899999999999997,0.031,0.055999999999999994,0.062,0.297,0.127,0.33799999999999997,0.336
"San Diego, CA",0.179,0.025,0.045,0.046,0.124,0.085,0.292,0.179
"San Jose, CA",0.154,0.023,0.039,0.044000000000000004,0.128,0.091,0.281,0.198
"San Marcos, CA",0.191,0.026000000000000002,0.052000000000000005,0.05,0.14300000000000002,0.086,0.29600000000000004,0.192
"San Mateo, CA",0.163,0.022000000000000002,0.039,0.042,0.102,0.077,0.267,0.17
"Santa Ana, CA",0.18100000000000002,0.033,0.055,0.064,0.278,0.136,0.32899999999999996,0.27899999999999997
"Santa Barbara, CA",0.185,0.025,0.045,0.047,0.124,0.083,0.292,0.184
"Santa Clara, CA",0.147,0.021,0.035,0.04,0.083,0.076,0.272,0.165
"Santa Clarita, CA",0.179,0.023,0.044000000000000004,0.044000000000000004,0.11,0.078,0.285,0.17600000000000002
"Santa Fe, NM",0.203,0.026000000000000002,0.047,0.047,0.141,0.08,0.257,0.188
"Santa Maria, CA",0.20800000000000002,0.032,0.065,0.064,0.258,0.126,0.322,0.276
"Shreveport, LA",0.266,0.032,0.07400000000000001,0.07,0.205,0.135,0.34299999999999997,0.355
"Somerville, MA",0.214,0.024,0.054000000000000006,0.049,0.07200000000000001,0.083,0.304,0.23800000000000002
"South Bend, IN",0.27,0.031,0.085,0.073,0.19899999999999998,0.12300000000000001,0.33299999999999996,0.319
"South Gate, CA",0.192,0.034,0.052000000000000005,0.062,0.297,0.14300000000000002,0.321,0.287
"Springfield, MA",0.297,0.034,0.084,0.075,0.179,0.134,0.326,0.348
"St. Joseph, MO",0.278,0.027000000000000003,0.081,0.065,0.16699999999999998,0.10400000000000001,0.345,0.308
"St. Louis, MO",0.26899999999999996,0.033,0.079,0.07,0.187,0.138,0.303,0.303
"Sunnyvale, CA",0.141,0.02,0.031,0.037000000000000005,0.081,0.073,0.26899999999999996,0.156
"Syracuse, NY",0.281,0.032,0.09,0.07200000000000001,0.155,0.12,0.318,0.33799999999999997
"Toledo, OH",0.273,0.032,0.095,0.07400000000000001,0.161,0.128,0.303,0.32299999999999995
"Torrance, CA",0.157,0.02,0.035,0.038,0.083,0.076,0.285,0.161
"Tulsa, OK",0.249,0.027999999999999997,0.073,0.068,0.179,0.107,0.32799999999999996,0.331
"Tuscaloosa, AL",0.302,0.032,0.085,0.071,0.171,0.139,0.36200000000000004,0.348
"Tustin, CA",0.16399999999999998,0.025,0.043,0.048,0.14,0.09,0.3,0.193
"Union City, CA",0.165,0.023,0.035,0.042,0.111,0.092,0.27899999999999997,0.193
"Union City, NJ",0.21100000000000002,0.033,0.055999999999999994,0.066,0.306,0.142,0.32299999999999995,0.39799999999999996
"Waco, TX",0.239,0.033,0.078,0.07,0.28300000000000003,0.132,0.341,0.34600000000000003
"Warner Robins, GA",0.262,0.03,0.077,0.066,0.188,0.11900000000000001,0.32799999999999996,0.307
"Waterbury, CT",0.259,0.03,0.077,0.066,0.175,0.12,0.32899999999999996,0.315
"Wilmington, DE",0.261,0.033,0.075,0.064,0.18,0.142,0.317,0.341
"Youngstown, OH",0.29,0.038,0.10800000000000001,0.085,0.21,0.166,0.33,0.39299999999999996
"Yuma, AZ",0.22,0.032,0.068,0.065,0.235,0.11900000000000001,0.32799999999999996,0.28
